citation_key,authors,year,study_design,mapping_type,onet_code,onet_label,hedges_g,variance,n_human,n_ai,computation_method,confidence,notes
dellacqua_2026_jagged_frontier,Fabrizio Dell'Acqua; Edward McFowland III; Ethan Mollick; Hila Lifshitz; Katherine C. Kellogg; Saran Rajendran; Lisa Krayer; François Candelon; Karim R. Lakhani,2026,field_experiment,occupation,13-1111.00,Management Analysts,2.140791781015457,0.024487716342869913,130,126,means_and_ses,high,"Sample sizes extracted from Table 2 (Panel A: Inside the frontier) showing N=130 for Control, N=126 for GPT+overview. Standard errors extracted from Table 4 column (1) regression output showing robust standard errors of 0.061 for both GPT+overview and control coefficients. Mean for AI arm calculated as control mean (4.375) + treatment effect (1.482) = 5.857. The control mean of 4.375 is explicitly stated at bottom of Table 4. Treatment effects are highly significant (p<0.001) per asterisks in Table 4."
hosanagar_2024_human_ai_collaboration,Kartik Hosanagar; Daehwan Ahn,2024,rct,work_activity,WA-13,Thinking Creatively,0.02262546615031833,0.007175230357966392,278,278,means_and_ses,medium,"Table S7 provides means and standard errors for overall quality on Day 1 (without AI) and Day 2 (with AI) for the copilot group. The constant row shows Day 1 mean=4.92 (SE=0.068) and Day 2 mean=5.0622 (SE=0.528) for the copilot condition. Total N=285 participants per Table 1, but 278 stories were produced on Day 1 per page 4. Using n=278 as the paired sample size. The design is within-subject (same participants, Day 1 vs Day 2). The SE for Day 2 appears unusually large compared to Day 1, which may reflect model uncertainty rather than pure sampling error. No SD of differences or paired t-statistic is reported. Python will need to convert SEs to SDs and apply paired-design correction."
merali_2024_scaling_productivity,Ali Merali,2024,rct,occupation,27-3091.00,Interpreters and Translators,0.14282137790441232,0.0013369567666278125,1499,1499,means_and_sds,high,"Within-subject design where participants completed tasks both with and without AI. Sample size n=1499 is found in Table 2 (Appendix A). The SD can be calculated from the standardized effect: the paper reports 0.14 standard deviations for a 0.2-point difference, which implies SD ≈ 0.2/0.14 ≈ 1.43. This is consistent with the Root MSE = 1.3865 reported in Table 4 for the quality outcome. Using SD = 1.4 as a conservative estimate based on these values."
noy_2023_chatgpt_productivity,Shakked Noy; Whitney Zhang,2023,rct,work_activity,WA-25,Working with Computers,0.4492359932088285,0.00920571098163403,222,222,reported_d,high,"Level E extraction: standardized_effect_reported explicitly states '0.45 SD increase', which is treated as Cohen's d. This is a between-subjects randomized trial with n=222 per arm. The paper reports p=0.000 exactly."
hansen_2024_ai_peer_feedback,"Hansen, R. R.; Hougaard, R. F.; Lindberg, A. B.; Møller, K. L.; Nielsen, T. A.; Prilop, C. N.",2024,natural_experiment,work_activity,WA-19,Interpreting the Meaning of Information for Others,0.5887448327373892,0.08922218218097332,26,20,t_statistic,high,"The verbatim quote states 'their feedback was significantly less criteria-based' for the AI group, which suggests the AI group had LOWER criteria-based feedback. However, the positive d=0.203 and positive t=2.014 indicate the AI group had HIGHER values. The language may be describing the control group. Given the statistical direction (positive t and d), I'm treating larger values as better (more criteria-based feedback). The comparison is between iteration 1 intervention (AI) vs iteration 1 control (no AI)."
otis_2024_ai_entrepreneurship,Nicholas G. Otis; Rowan Clarke; Solène Delecourt; David Holtz; Rembrand Koning,2024,rct,occupation,11-1021.00,General and Operations Managers,0.03995295962367699,0.006236555587842587,320,320,reported_d,high,"The primary outcome is a standardized business performance index aggregating weekly and monthly profits and revenues. Figure 3 and Table 1 report the average treatment effect as β = 0.04 standard deviations (p = 0.34, 95% CI = [-0.05, 0.15]). The paper states 'we are unable to reject the null hypothesis of no average treatment effect on firm revenues and profits' (page 3). The study used stratified randomization by quartiles of pre-treatment business performance and by gender, with 640 total participants (320 per arm). The effect size of 0.04 s.d. is interpreted as a standardized effect (Cohen's d). The paper reports heterogeneous effects by baseline performance: low performers had β = -0.08 s.d. (p = 0.01), high performers had β = 0.16 s.d. (p = 0.07), with a heterogeneous treatment effect of β = 0.23 s.d. (p = 0.01) between the two groups."
chukwuka_2025_ai_productivity,"Chukwuka, Ernest Jebolise; Imide, Israel Onokero",2025,observational,work_activity,WA-14,Processing Information,0.40070565491416155,0.037256908513060114,54,54,t_statistic,medium,"The study distributed 156 questionnaires and received 108 responses (69% response rate). The hypothesis testing tables show t-tests for questions 1-4 related to AI's effect on employee productivity. Question 1 directly tests 'Artificial Intelligence (AI) has a significant effect on employee productivity' with mean difference = 21.60000, t = 2.097, df = 4, p = .104 (two-tailed). The summary table shows 48 SA + 45 A = 93 positive responses vs 10 D + 0 SD = 10 negative for question 1. The paper states 'out of 156 copies of questionnaires that were distributed, 108 were returned' and the hypothesis test uses these data. The t-test appears to be conducted on aggregated Likert-scale responses. The df=4 is unusually low given n=108 respondents, suggesting the analysis may have been conducted on grouped/summarized data rather than individual responses. The means (21.6 vs 22.0) are extracted from the one-sample t-test tables comparing questions about AI presence. The p-value is reported as .104, which is not statistically significant at conventional levels. Sample sizes are inferred from the total N=108 split between conditions, though the exact allocation is not explicitly stated; assuming equal randomization gives n=54 per arm."
babaei_balderlou_2025_ai_study_groups,Saharnaz Babaei-Balderlou; Shishir Shakya,2025,field_experiment,work_activity,WA-15,Updating and Using Relevant Knowledge,0.4119263278737213,0.061395692425676114,32,33,means_and_sds,high,"Baseline means and SDs are available for all arms from the first exam. The treatment effects are reported as difference-in-differences estimates comparing post-treatment exams to baseline. The p-value for group_discussion_ai vs control on the third exam is reported as 'p < .01' (inequality only, not exact value). Using baseline descriptive statistics provides the cleanest comparison of the two arms."
usdan_2024_generative_writing,Jordan H. Usdan; Harley Chang; Allison E. Connell Pensky,2024,within_subject,work_activity,WA-14,Processing Information,0.6194504827968915,0.07831087506146354,26,26,means_and_sds,high,"Within-subjects design with repeated measures ANOVA. Sample size n=26 inferred from df2=25 (n-1). The F-statistic is from a repeated-measures design. Mean difference = 94.1 - 88.3 = 5.8. The paper reports η²=.16 (eta-squared), not Cohen's d or Hedges' g. SD of difference scores not reported, but means, SDs, and F-statistic are available for paired-design Hedges' g calculation."
christensen_2025_fraud_risk,Brant E. Christensen; Scott A. Emett; Marc Eulerich; David A. Wood,2025,rct,work_activity,WA-01,Analyzing Data or Information,1.2349750387632004,0.0593728105599164,38,41,means_and_sds,high,"Complete Level A data extracted from Table 4 Panel A (page 47). Sample sizes were found in the table cells: n=38 for No AI Assistance and n=41 for Has Access to AI Assistance. Standard deviations were also provided in the table: sd=2.58 for control and sd=2.84 for AI condition. The p-value is reported as an inequality (p-value= <0.01) rather than an exact value, so reported_p_value is set to null. The outcome is Number of Highly Relevant Risks, where higher values indicate better fraud risk identification performance."
chen_2024_llm_creative,Zenan Chen; Jason Chan,2024,rct,work_activity,WA-13,Thinking Creatively,0.031156331401364753,0.01663984380256031,117,122,means_and_sds,high,"Summary statistics extracted from Table 1 on page 13. The table provides mean ad clicks and standard deviations for each condition. No-AI (Control): Mean=16.2, SD=6.6, N=117. Sounding board: Mean=16.4, SD=6.2, N=122. Ghostwriter: Mean=13.0, SD=5.0, N=116. The prior extraction missed these descriptive statistics which are clearly presented in the summary table. The regression models in Table A2 show the sounding board effect is not significant overall (β=0.140, p>0.1 in Model 4) but is significant for non-experts specifically (β=2.296, p<0.05 in Model 5). The means and SDs allow computation of Hedges' g using Level A data."
choi_2023_lawyering_ai,Jonathan H. Choi; Amy B. Monahan; Daniel Schwarcz,2023,rct,occupation,23-1011.00,Lawyers,0.3068314589628549,0.06573085530389722,30,30,means_and_sds,medium,"Within-subjects crossover design with n=30 participants completing tasks both with and without GPT-4. Means and SDs are provided for each condition, along with the mean difference (0.17) and its 95% CI. The SD of the paired difference scores is not explicitly reported, so Python will need to use the correlation-based approach or approximate from the CI width. The reported SDs (0.59 and 0.50) are the marginal SDs for each condition, not the SD of differences."
choi_2023_lawyering_ai,Jonathan H. Choi; Amy B. Monahan; Daniel Schwarcz,2023,within_subject,occupation,23-1011.00,Lawyers,0.30720262919653635,0.06683521586313979,29,30,means_and_sds,high,"Level A extraction: means and SDs directly reported. Group A (n=30) used GPT-4 for complaint drafting; Group B (n=29) did not use AI for complaint drafting. The reported difference is 0.17 grade points with 95% CI (-0.03, 0.37)."
cui_2025_generative_ai_developers,Kevin Zheyuan Cui; Mert Demirer; Sonia Jaffe; Leon Musolff; Sida Peng; Tobias Salz,2025,field_experiment,occupation,15-1252.00,Software Developers,0.10165040528573137,0.0022920866276383203,866,880,means_and_sds,medium,"Table 2 (Balance Table) provides pre-treatment means and SDs for Build Success Rate: Control mean=0.72 (SD=0.30), Treatment mean=0.75 (SD=0.29), with p-value=0.33 for the difference test. Sample sizes are derived from the Microsoft experiment description: 1,746 developers total, with 50.4% randomized to treatment, yielding approximately 880 treatment and 866 control. The paper states 'We find no negative effect on the build success rate' and Table 3 shows a W-IV estimate of -5.53% (SE: 3.64) which is not statistically significant. The pre-treatment balance statistics provide the cleanest comparison for computing Hedges' g, as they represent baseline measurements before any treatment effect. The treatment effect estimate in Table 3 is expressed as a percentage change from baseline, not as raw means, so we use the pre-treatment values."
haslberger_2025_ai_productivity,Matthias Haslberger; Jane Gingrich; Jasmine Bhatia,2025,rct,work_activity,WA-14,Processing Information,0.9193357400722022,0.004246717465616801,537,504,reported_d,high,Mean for AI arm calculated as 3.1 + 1.26 = 4.36 from reported effect. Standardized effect explicitly reported as '0.92 SD' which we treat as Cohen's d. P-value reported as inequality 'p < 0.001' so exact value set to null. Regression coefficient confirms the 1.262 point increase with p < 0.001.
roldan_2024_genai_inequality,Antonio Roldán-Monés,2024,lab_task,work_activity,WA-13,Thinking Creatively,0.14919499105545617,0.0279458518965277,71,71,reported_d,medium,"The paper reports a standardized effect of 0.15 standard deviations for the overall treatment effect. The effect is described as not statistically significant (p-value not exactly reported, only stated as 'not statistically different from zero'). Multiple subgroup analyses are reported showing heterogeneous effects (e.g., 0.8 SD for high-ability students, 0.47 SD for top 50% baseline, 0.38 SD for strong evidence position), but the primary overall effect is 0.15 SD."
schwarcz_2026_ai_lawyering,Daniel Schwarcz; Sam Manning; J.J. Prescott; Patrick Barry; David R. Cleveland; Beverly Rich,2026,rct,work_activity,WA-30,Documenting/Recording Information,0.32228412256267414,0.04333935069480301,47,45,reported_d,medium,"This is a between-subjects design with three arms. The paper reports standardized effects as '0.30 to 0.35 standard deviations' for o1_preview vs control. I extracted the midpoint (0.325) as Cohen's d. The regression coefficients show β = 0.52*** (SE 0.09) without participant FEs and β = 0.53*** (SE 0.09) with participant FEs, but without raw means and SDs, we rely on the reported standardized effect. The p-value is indicated as highly significant (***) but no exact value is provided."
kim_2024_generative_ai_tutoring,Donggwan Kim; Dmitry Mitrofanov; Qingsong Wen; Tianlong Xu,2024,natural_experiment,work_activity,WA-14,Processing Information,0.3678996655271929,0.00023856285793729274,6469,12435,t_statistic,medium,"Table 2, column (3) reports the main effect on correctness rate: coefficient = 0.0264, SE = 0.0011, p < 0.01 (indicated by ***). The t-statistic can be computed as 0.0264 / 0.0011 = 24.0. The degrees of freedom are N - k where N = 2,114,829 observations (student-day level) and k is the number of parameters (student FE + date FE + controls). With large N and fixed effects, df ≈ N - number of students - number of dates. Given the massive sample size, df is effectively N - 18,904 students - ~365 dates ≈ 2,095,560, but conservatively using N-2 = 2,114,827 for the df. The outcome is measured in percentage points (0.0264 = 2.64 percentage points increase in correctness rate). The paper reports p < 0.01 but not an exact p-value. The effect is from a difference-in-differences regression with student and date fixed effects, comparing treated vs control students post-AI rollout. This is an observational study with quasi-random assignment based on device availability, not a true RCT, but the parallel trends assumption is supported by Figure 4 and the paper's robustness checks."
