paper_id,stage_failed,reason
2501.13282v1,05_quality,"This is definitively a single-arm deployment study with no control condition. The paper reports: (1) Acceptance rates for Copilot suggestions (33% suggestions, 20% lines) - these are AI-specific metrics with no human baseline; (2) Developer satisfaction surveys showing 72% positive sentiment, mean ratings of 8.0/10 satisfaction and 7.6/10 productivity improvement - but these are subjective ratings of the AI tool, not comparisons to a no-AI baseline; (3) Survey responses indicating 90% report time reduction with median 20%, 63% complete more tasks, 77% report improved quality - again, these are self-reported perceptions about using Copilot, not measured differences vs. a control. The study design (§5) describes a 4-phase rollout (initial assessment with 5 engineers, trial recruitment, 2-week trial with 126 engineers, full rollout) but all phases involve using Copilot. No pre-deployment baseline measurements, no control group, no A/B testing, no crossover design is described. The paper explicitly positions itself as an 'evaluation and deployment' study (§1, §5) documenting enterprise adoption, not a controlled experiment. | arm pair unresolvable"
2506.00856v3,02_method_classification,study_design=other (This is a benchmarking study evaluating AI performance on econometrics tasks using existing datasets (coursework exercis)
2506.03707v1,05_quality,"This is a paired-design comparison where each of 27 bankers produced human-AI collaborative advice for 10 loans (randomly selected from 24), and the AI produced advice for all 24 loans. For each banker, accuracy on their 10 loans was compared to AI accuracy on the same 10 loans. The mean difference in accuracy (human-AI minus AI-only) is -0.03 across 27 bankers, tested with a one-sample t-test (p=0.23). The design is within-subject (paired) because each banker's accuracy is compared to AI accuracy on the same set of loans. However, the SD of the 27 difference scores is not reported, nor is the t-statistic. Only the mean difference (-0.03), sample size (27), and p-value (0.23) are provided. Python may attempt to back-calculate the t-statistic from p and df=26, then derive the SD, but this introduces uncertainty. The outcome is investment recommendation accuracy (proportion of correct recommendations), where larger is better. The comparison is AI-only (baseline) vs. Human-AI (treatment). Note: the paper's primary focus is on consumer response (Stage 2), but this production-side accuracy comparison (Stage 1) is the only quality outcome with reported statistics comparing human-AI to AI-only advice. | insufficient numbers for d"
2507.19775v1,05_speed,"After careful re-reading, this paper is fundamentally incompatible with the SPEED meta-analysis framework. It studies firm-level structural outcomes (employee counts, valuations, funding) across startup cohorts founded in different eras, not individual or team task performance with/without AI. The 'natural experiment' is observational (founding year as proxy for AI availability), not a controlled comparison of the same task performed under AI vs. no-AI conditions. The reported statistics (t-tests, regressions) compare aggregate firm metrics between cohorts, not productivity/speed metrics. For example, the paper reports that AI-era firms have mean age-adjusted employee count of 11.641 vs. 4.961 for pre-AI (t=-12.891, p<0.001), and valuation per employee of 0.788 vs. 1.188 (t=2.044, p=0.041). These are not measures of how fast tasks are completed. The paper explicitly states findings reveal 'larger structures and lower efficiency in AI-era firms' and 'early-stage investments in technology that have yet to yield proportional returns.' This is a macro-level ecosystem study, not a micro-level productivity study. No speed or throughput outcome exists. | arm pair unresolvable"
2507.19775v1,05_quality,"After re-reading the full PDF, I confirm that this study is not a controlled experiment or RCT comparing human-only vs. human+AI performance on a task. It is an observational, cross-sectional analysis of Indian startup firms founded in two time periods (pre-AI and AI-era cohorts). The paper reports firm-level structural and efficiency metrics (e.g., age-adjusted employee count, valuation per employee, revenue-to-funding ratio) and compares these across cohorts using t-tests and regression. No quality outcome (accuracy, error rate, rubric score, rating) is measured. The prior pass correctly identified 'no speed or quality primary outcome.' The study's focus is on organizational structure and capital efficiency, not on the quality of work output. Therefore, no arm pair or quality outcome is resolvable for Hedges' g extraction as specified by the schema. | arm pair unresolvable"
2507.19911,05_speed,"This is a spatial economics paper studying AI adoption effects on regional agglomeration patterns in Tokyo, not a human task performance study. The paper uses difference-in-differences and other causal methods to estimate how AI implementation affects spatial concentration of economic activity across Tokyo's 23 wards and 6 industries over 2000-2023. The 'treatment effect' of 0.045 (4.5 percentage points, Table 2) refers to change in spatial concentration indices, not individual human productivity. The heterogeneous effects by industry AI-readiness (Table 3: high-readiness +8.4pp, low-readiness +1.2pp) are also spatial concentration measures. The paper does discuss that 'aggressive AI adoption can offset 60-80% of aging-related productivity declines' (page 2, 23) but this is a prediction from machine learning models about aggregate regional productivity, not a measured speed outcome from controlled human experiments. No individual-level task completion data, no human-only vs human+AI comparison arms, no speed/throughput measurements exist in this paper. The study is fundamentally about economic geography and spatial distribution, not human-AI collaboration on tasks. | arm pair unresolvable"
2507.19911,05_quality,"After thorough re-read, this is a spatial economics paper studying AI adoption effects on metropolitan agglomeration patterns, not a human-vs-AI task performance study. The 'treatment' is AI implementation at the ward-industry level (e.g., Difference-in-Differences estimate of 0.045 in Table 2 represents percentage point change in spatial concentration index). The paper analyzes demographic transition, productivity, and spatial distribution using panel data from Tokyo's 23 wards across 2000-2023. There are no individual human workers performing tasks with/without AI assistance, and no quality outcome (accuracy, error rate, rubric score) measured at the task level. The heterogeneous treatment effects by industry (Table 3: high AI-readiness industries +8.4pp, low +1.2pp) are still spatial concentration measures, not task quality. This study is outside the scope of human-AI collaboration performance experiments. | arm pair unresolvable"
2507.23181,05_speed,"After careful re-reading, this paper fundamentally does not fit the speed/productivity effect size framework. It is an econometric study of AI research production functions, not an experiment or observational study measuring task completion speed or productivity with vs. without AI assistance. The paper mentions one example of AI assisting research (Google DeepMind's AlphaEvolve reducing LLM training time by 1%), but this is cited as background motivation, not as a measured outcome in the study itself. The study's actual empirical work regresses log(research_compute/labor) on log(wage/compute_price) and other controls to estimate substitution elasticity. The dependent variable is a ratio of inputs (compute per employee), not an output measure like tasks completed or time taken. The 'arms' (firms and years) are observational units in a panel regression, not experimental conditions. No human-only baseline vs. AI-assisted condition exists in the data. The paper's Table 1 reports elasticity estimates (σ) with standard errors, but these are structural parameters of a production function, not treatment effects on speed/productivity. Setting arm_pair_resolvable=false because the paper does not contain the type of outcome data (speed, throughput, productivity metrics comparing human vs. human+AI performance) required for this meta-analysis. | arm pair unresolvable"
2507.23181,05_quality,"After thorough re-read, this paper is definitively not an experimental study comparing human vs. human+AI performance. It is an econometric analysis of AI firm production functions. The main results (Table 1) report elasticity of substitution estimates: σ = 2.583 (SE 0.341) for CES in Compute model and σ = -0.103 (SE 0.176) for CES in Frontier Experiments model, with 27 firm-year observations and firm fixed effects. These are regression coefficients from cost-minimization first-order conditions, not treatment effects. The paper contains no experimental manipulation, no human subjects performing tasks, and no quality outcome in the sense required for effect size calculation. The 'quality' discussed is algorithmic quality (A_it) in a theoretical model, not measured empirically. All tables (A2–A6) report robustness checks of the same econometric estimates under different specifications. No human vs. AI comparison exists in this paper. | arm pair unresolvable"
2509.22725v2,02_method_classification,"study_design=other (This is a meta-analysis synthesizing 133 experimental and quasi-experimental studies, not a primary empirical study. The)"
2510.07933,05_speed,"This paper does NOT report a human vs. AI productivity experiment. It is a survey study (n=100) examining Polish consumers' preferences for online vs. traditional insurance distribution channels. The paper reports descriptive statistics (percentages choosing different channels, rating importance of factors like price, trust, convenience) but NO speed/productivity metrics comparing human-only vs. human+AI task completion. The 'arms' identified in prior extraction appear to be survey response categories (experience levels with online purchasing), not experimental conditions. There is no primary outcome measuring task completion time, throughput, or any productivity metric. The paper discusses factors influencing channel choice (Figure 5 shows price, convenience, personal contact preferences) and barriers to online adoption (Figure 6 shows security concerns, trust issues), but provides no quantitative speed or quality measurements suitable for effect size calculation. This paper should be excluded from a meta-analysis of AI-augmented human productivity. | no usable numbers"
2510.07933,05_quality,"After thorough re-reading, this paper is definitively not an AI intervention study. It is a consumer behavior survey about insurance purchasing channels (online platforms vs. traditional agents). The study examines Polish consumers' preferences, motivations, and concerns when choosing between digital and traditional insurance distribution methods. The 100 respondents answered questions about their experiences and preferences, with results presented as percentages in pie charts. There are no experimental arms, no AI tool being tested, no baseline vs. intervention comparison, and no quantitative performance metrics (accuracy, quality scores, etc.) that could yield an effect size. The paper belongs to the marketing/consumer behavior literature, not the human-AI collaboration literature. | arm pair unresolvable"
2511.09877v1,05_quality,"This is a difference-in-differences quasi-experimental study, not an RCT. The 'arms' are time periods (2022 vs 2023) at the restaurant level, not individual-level treatment assignments. The paper reports DiD regression coefficients (Treat*Post) with standard errors for log-transformed outcomes, not means/SDs for treatment vs control groups. Sample: 46,190 restaurants, 1,559,528 reviews, 847,902 restaurant-week observations (Table 1). No per-arm n, means, or SDs are provided. P-values are reported as inequalities (p < 0.001, p < 0.01, p < 0.05) throughout Tables 2-9 and Appendices, never as exact values. No t-statistics, F-statistics, or standardized effect sizes (Cohen's d, Hedges' g) are reported. The study evaluates a platform-wide policy change (AI writing guidance introduced April 2023), not a randomized comparison of AI vs no-AI conditions. Cannot compute Hedges' g from the available information. The design does not fit the schema's requirement for a human-only baseline arm and a human+AI arm with comparable outcome measures. | arm pair unresolvable"
2512.24856v1,02_method_classification,"study_design=other (Both study_design_description and population_description are null, providing no information about the research design or)"
2601.12488v1,02_method_classification,"study_design=other (This is a computational simulation study using agent-based modeling (ABM) and mean field game theory, not an empirical s)"
2602.02607v1,05_quality,"After re-reading the full PDF, I confirm that this is an observational study of bank-level productivity (ROA, ROE) following GenAI adoption, not an experiment measuring human task performance with and without AI assistance. The paper uses econometric methods (DSDM, SDID) to estimate causal effects of institutional AI adoption on financial performance, but does not report individual-level quality outcomes, task completion metrics, or experimental arms. The 'arms' in the prior context refer to banks classified by adoption status (AI-adopting vs. non-adopting), not experimental conditions. No means, SDs, or effect sizes for a quality outcome (accuracy, error rate, rubric score) are present. The paper is not resolvable under the schema. | arm pair unresolvable"
38,05_speed,"After careful re-reading, this paper is a survey-based empirical study examining HR professionals' attitudes toward AI adoption in recruitment using the Technology Acceptance Model (TAM). The study measures constructs like Perceived Usefulness (PU), Perceived Ease of Use (PEU), Trustworthiness of AI (TAI), Behavioral Intention to Use (BIUHRRS), and Actual Usage (AUHRRS). The reported statistics (Cronbach's alpha, composite reliability, AVE, R-square, correlation coefficients, path coefficients) all relate to psychometric properties and structural equation modeling of these attitudinal constructs. No actual recruitment or selection performance outcomes (time to hire, number of candidates screened, quality of hires, etc.) are measured or compared between human-only and human+AI conditions. The paper is purely about technology acceptance, not task performance. Therefore, no speed effect size can be computed. | arm pair unresolvable"
38,05_quality,"This paper is a cross-sectional survey study (n=420-450, with 50 removed, leaving ~370-400) examining HR professionals' attitudes toward AI adoption in recruitment using the Technology Acceptance Model. It reports construct reliability (Cronbach's alpha 0.838-0.908), discriminant validity correlations, R-square values for endogenous constructs (BIUHRRS R²=0.892, AUHRRS R²=0.707), and path coefficients in a structural model. The study does not compare actual recruitment outcomes between human-only and human+AI conditions. The dependent variables are perceptual/attitudinal (perceived usefulness, ease of use, trustworthiness, behavioral intention, actual usage intention) rather than objective quality metrics. No experimental manipulation or performance comparison is present. The paper is purely observational/correlational regarding technology acceptance, not an intervention study measuring recruitment quality. | arm pair unresolvable"
Acemoglu & Autor 2011,02_method_classification,"study_design=other (Both study_design_description and population_description are null, providing no information about the research design or)"
Acemoglu 2024,02_method_classification,study_design=other (This is a macroeconomic modeling study that 'uses a task-based model framework' to 'estimate medium-term (approximately )
Agarwal et al. 2023,05_quality,"Within-subject design with 227 radiologists. Primary outcome is 'Deviation from Diagnostic Standard' (smaller is better). Table C.6 column (4) reports: Control Mean = 0.226 (SE=0.010), AI treatment effect = 0.003 (SE=0.004), total N=41,920 observations. The AI effect is not statistically significant. M_ai is computed as 0.226 + 0.003 = 0.229. The paper uses two-way clustered standard errors at radiologist and patient level. Sample size n=227 is the number of radiologists (from Table 1 and text). The design involves each radiologist diagnosing multiple cases (92 reads per radiologist on average from Table 1), but the unit of analysis for effect size should be radiologists. The paper does not report SD of differences or paired t-statistics directly, only regression coefficients with clustered SEs. P-value is reported as not significant but exact value not given in table. | insufficient numbers for d"
Assessing_Open_Source_Software_Developers_Opportunity_Costs_in_a_Time_of_Genera,05_quality,"Table 6 Column 2 reports regression coefficients for Code Churn % outcome. Pro × PostAnnouncement coefficient = -0.00 (SE 0.02), Pro × PostLaunch coefficient = 0.01 (SE 0.01). Standard errors are clustered at user level. The paper states these effects are not statistically significant (p>0.05 implied but exact p-values not reported). N=2476 observations from 229 users. This is a panel regression with user and week fixed effects, not a simple two-group comparison, so means and SDs are not reported. The regression coefficients represent percentage-point changes in code churn. Without means, SDs, or a t-statistic, we cannot compute Hedges' g. The study design is observational (Pro vs non-Pro users) rather than a controlled experiment. Code churn is a 'smaller is better' metric (lower churn = better code stability), so direction_convention is set accordingly. The sample size of 229 users is taken from the '# Users' row in Table 6. | insufficient numbers for d"
Autor 2024,02_method_classification,"study_design=other (Both study_design_description and population_description are null, providing no information about the research design or)"
"Autor, Levy & Murnane 2003",05_quality,"After full re-read: This is an observational economics paper analyzing how computer adoption (measured at industry/occupation level from CPS surveys) correlates with changes in the task content of jobs (measured via DOT task scales aggregated to industries/occupations). It does not report an experiment with human subjects performing tasks with vs. without AI assistance. The 'outcomes' are aggregate task measures (e.g., mean industry score on 'routine cognitive tasks'), not individual performance on a quality or speed metric. Tables report regression coefficients (e.g., Table 5: coefficient of industry computerization on change in task measure), R², and standard errors, but these describe macro trends, not individual-level treatment effects. No means, SDs, or t-statistics for a human-only vs. human+AI comparison exist because no such comparison was conducted. The prior pass correctly identified that no speed or quality primary outcome (in the experimental sense) is present. This paper is out of scope for the extraction task. | arm pair unresolvable"
"Brynjolfsson, Li & Raymond 2025",05_quality,"Resolution rate means extracted from Table 1 summary statistics. Never Treated arm shows resolution rate of .78, Treated Post shows .84. The prior pass missed that Table 1 provides the raw resolution rate means for each group. Sample sizes also from Table 1: Never Treated n=3,523 agents, Treated Post n=1,636 agents. No SDs are reported for resolution rate in the paper. The regression result in Table 3 Column 3 (0.0128* increase, p<.10) is consistent with the raw difference of 0.06 (0.84 - 0.78). Without SDs, we can only compute a rough effect size estimate, hence medium confidence. The p-value reported in Table 3 is an inequality (p < .10), not an exact value. | insufficient numbers for d"
Can_AI_Improve_Marketing_Communications_for_Small_Businesses_Field_Evidence_fro,05_quality,"The primary outcome is 'Demand Waitlist', a binary indicator for whether a practice has a waitlist. Table 2 Column 1 reports the treatment effect coefficient of 0.0164 (SE=0.0069, p<0.05) from a difference-in-differences regression with practice fixed effects. The baseline waitlist propensity is 0.063 (from Table 1). The paper states this represents a '25% increase in the probability of having a waitlist from adopting the LLM' (page 13). Sample sizes are from the matched sample: 1062 treated practices and 4248 control practices (4:1 matching ratio), yielding 54,588 practice-month observations total (Table 2). The coefficient 0.0164 is the estimated treatment effect on the probability scale. For a binary outcome in a linear probability model with fixed effects, we cannot directly compute Hedges' g from the reported coefficient without individual-level data or additional statistics (means, SDs, or t-statistics for the outcome variable itself). The paper does not report means or SDs of the waitlist indicator by arm, nor a t-statistic for the treatment coefficient that would allow conversion to standardized effect size. The reported p-value is given as p<0.05 (inequality), not an exact value. | insufficient numbers for d"
Caplin et al. 2023,05_quality,"Table 1 Column 1 reports the treatment effect coefficient (6.93, SE=0.56) and constant (65.46, SE=0.48) from a regression of accuracy on treatment indicator. The constant represents the control group mean. The treatment coefficient represents the mean difference (AI - control). Therefore: m_human = 65.46 (constant), se_human = 0.48; m_ai = 65.46 + 6.93 = 72.39. However, the SE for the AI arm is not directly reported. The regression SE (0.56) is for the difference, not for the AI arm mean itself. We can extract m_human with its SE, and the treatment effect, but lack sd_ai or se_ai. The paper states n=732 total with 493 treatment and 239 control (from text on p.12). With means and one SE plus sample sizes, Python may be able to compute an approximate effect size, though precision will be limited. | insufficient numbers for d"
Doyle,05_speed,"After careful re-reading of the full paper, this is definitively a single-arm survey study with no comparison group. The research question asks 'What are the perceptions and experiences of higher education faculty using generative AI tools?' Twenty-one faculty who already use AI were surveyed about their perceptions. The outcomes are Likert-scale agreement percentages (strongly agree, agree, neutral, disagree, strongly disagree) about statements like 'AI streamlines curriculum development' and 'AI creates effective teaching materials.' No experimental manipulation was performed, no human-only baseline exists, and no quantitative performance metrics (time, throughput, quality scores) were measured. The paper does cite other studies (Dell'Acqua et al. 2023, Sowa et al. 2021) that report productivity improvements (12.2% boost in task execution, 25.1% reduction in completion time, 40% quality improvement), but these are literature review citations, not results from this study. This study's own empirical contribution is purely descriptive survey data about faculty perceptions, which cannot be converted to a log ratio of means for a SPEED effect size. | arm pair unresolvable"
Doyle,05_quality,"This is a single-group descriptive survey study with no experimental comparison. The study design is explicitly stated as 'a mixed methods approach, merging a structured survey with quantitative and qualitative data to evaluate AI tools' effectiveness' focusing on 'faculty perceptions, experiences, and the challenges and benefits'. All 21 participants were faculty who already use AI. The quantitative results report only percentages of agreement on Likert-scale items (e.g., 80.95% strongly agree, 71.43% strongly agree). No means, standard deviations, test statistics, or effect sizes comparing conditions are reported. The research question asks 'What are the perceptions and experiences of higher education faculty using generative AI tools' - this is a descriptive question, not a comparative one. No human-only baseline exists. | arm pair unresolvable"
Eloundou et al. 2024,02_method_classification,"study_design=other (This is a classification/annotation study of occupational data, not an empirical study of AI impact on workers. The stud)"
Generative_AI_at_work_Survey_evidence_from_three_Central_Banks,03_outcome_classification,missing
Handa et al. 2025,05_quality,"This paper is a large-scale observational study analyzing patterns of AI usage across economic tasks by mapping millions of Claude.ai conversations to O*NET occupational categories. It does not contain any experimental or quasi-experimental comparison of human performance with and without AI assistance. The validation study in Appendix C compares AI classification accuracy to human raters' judgments (95.3%, 91.3%, 86% agreement at different levels), but this validates the methodology rather than comparing task performance. Section 3.4 categorizes usage patterns as automative (43%) vs. augmentative (57%), but does not measure performance differences. Section 3.5 compares two AI models (Opus vs. Sonnet 3.5) but has no human-only condition. The paper's contributions are descriptive statistics about which occupations and tasks see AI usage, not causal estimates of AI's effect on human performance. No human-only baseline arm exists, and no statistics comparing human vs. human+AI performance are reported. | arm pair unresolvable"
He et al. 2025,05_quality,"After re-reading the full paper, I confirm the prior extraction was correct: this is a difference-in-differences observational study with panel data (repository-months). The reported statistics are regression coefficients from DiD models on log-transformed outcomes, not standardized effect sizes. Table 2 reports ATT = 0.2644 (SE 0.0511) for static analysis warnings, interpreted as +30.26% increase. Table 6 shows alternative estimators: TWFE gives 0.1696 (SE 0.0415), +18.48%; Callaway-Sant'Anna gives -0.1108 (SE 0.1254), -10.49%. All p-values are reported only as inequalities (p<0.001, p<0.01, p<0.05), never exact values. The paper explicitly states all outcomes are log-transformed (Table 2 note, page 7). No raw means, standard deviations, t-statistics, F-statistics, or standardized effect sizes (Cohen's d or Hedges' g) are provided anywhere in the paper. Table 1 shows descriptive statistics for the 806 treatment repositories at data collection time, but not at baseline or for the control group. Table 5 shows pre-adoption balance statistics (treatment mean vs control mean for covariates like age, stars, forks), but not for the outcome variable. The sample sizes are: 806 treatment repositories, 1,172 control repositories initially, 1,380 after matching (Table 7), with 21,699 total repository-month observations. These are panel observations, not independent samples. Without means and SDs or convertible test statistics, Hedges' g cannot be computed. | arm pair unresolvable"
Hoffmann et al. 2025,05_quality,"Table A7 Panel B reports intent-to-treat effects on Critical CVEs. For the copilot_ineligible arm (baseline), mean = 7.801 (SE = 0.248), n = 76,662. The treatment coefficient is -1.060*** (SE = 0.305), p < 0.001. The AI arm mean can be inferred as 7.801 - 1.060 = 6.741. However, the table does not report the SD for the AI arm directly; only the baseline SD is available. The paper states '33.9% lower' in the text, which is consistent with the coefficient. Without the AI arm SD or a test statistic that allows direct computation, we can only provide the baseline mean, baseline SD (converted from SE using n), the treatment effect, and the p-value. The baseline SD = SE * sqrt(n) = 0.248 * sqrt(76662) ≈ 68.6. This is implausibly large for a count outcome, suggesting the SE may be robust/clustered. Given the large sample size and the reported coefficient with SE, Python may be able to approximate the effect size using the regression coefficient and baseline SD, though this is not ideal. Marking confidence as medium because we have baseline statistics and a clear treatment effect, but lack the AI arm SD. | insufficient numbers for d"
Ju & Aral 2025,05_quality,"After re-reading the full PDF, the paper still does not report means, SDs, SEs, t-statistics, F-statistics, or standardized effect sizes (Cohen's d or Hedges' g) for the direct comparison between human_ai and human_human teams on text quality. Table 2 (page 22) shows only the regression coefficient β = 0.327 (SE 0.024) with p < 0.001 (inequality only). Table G (page 51) provides the full regression model with covariates but still only reports coefficients, not raw means or SDs. The paper uses regression-based analysis throughout rather than reporting descriptive statistics by arm. Without means+SDs, t-statistics, F-statistics, or reported effect sizes, Hedges' g cannot be computed. The p-value is reported only as an inequality (p < 0.001), not an exact value. Sample sizes are confirmed from Table 1 (page 16): n_human=976, n_ai=1258. | insufficient numbers for d"
Kreitmeir & Raschky 2024,05_quality,"This is a difference-in-differences natural experiment, not a controlled trial with human-only and human+AI arms. The 'treatment' is the removal of ChatGPT access (Italy's ban), not the introduction of AI. All reported statistics are DiD regression coefficients (Treated × Post) with clustered SEs, not means/SDs or effect sizes for a human vs. human+AI comparison. Descriptive statistics (Tables C.1, D.1) are pooled across treatment/control and pre/post, not separated by 'with AI' vs. 'without AI' conditions. The study does not report any of the statistics required to compute Hedges' g for a human-only vs. human+AI contrast (no simple group means/SDs, no t/F from two-group tests, no reported Cohen's d or Hedges' g for the required comparison). The design is fundamentally incompatible with the extraction schema, which assumes discrete human-only and human+AI arms. The prior extraction was correct to mark this as unresolvable. | arm pair unresolvable"
Measuring_the_Impact_of_AI_on_Information_Worker_Productivity,05_quality,"Sample sizes extracted from text: Experiment 1 had 167 total subjects randomly assigned to Copilot or Control groups. The 'Perceived Time Savings and Willingness to Pay' section states 'We surveyed our 80 subjects who had access to Copilot' in Experiment 1, giving n_ai=80. Therefore n_human=167-80=87. Means are reported in Table 1 (Control: 8.7, Copilot: 8.5 out of 10 questions). SDs are not reported. P-value is 0.612. This is Level F extraction (p-value + n only). Accuracy measured as number of correct answers out of 10 multiple-choice questions. | insufficient numbers for d"
Peng et al. 2023,05_quality,"After thorough re-read of the full paper, the task success outcome remains insufficiently reported for Hedges' g calculation. The paper states: 'We also find that the treated group's success rate is 7 percentage points higher than the control group, but the estimate is not statistically significant, with a 95% confidence interval of [-0.11, 0.25].' Only the raw difference (7 percentage points) and CI are provided. No means, SDs, SEs, test statistics (t, F), or standardized effect sizes are reported for this outcome. The p-value is described only as 'not statistically significant' with no exact value. The CI bounds [-0.11, 0.25] appear to be for the proportion difference itself, not a standardized effect. Without at least one of: (a) means+SDs, (b) means+SEs, (c) t-statistic+df, (d) F-statistic, (e) reported d/g, or (f) exact p-value with sufficient detail, Hedges' g cannot be computed. The primary outcome in this study is task completion time (55.8% reduction, p=0.0017), not task success rate, which is reported as a secondary finding with minimal statistical detail. | arm pair unresolvable"
PublishedImpactofArtificialIntelligenceonEmployeesProductivityinTechnological,05_speed,"This is a descriptive survey study of 156 employees in technological firms in Delta State, Nigeria, with 108 questionnaires returned (69% response rate). The study tests three hypotheses using one-sample t-tests. For Hypothesis 1 (AI has positive and significant effect on employee productivity), the calculated t-value is 9.110 with df=4, table t-value=1.812, leading to rejection of null hypothesis. The study design appears to be cross-sectional comparing employees in organizations with AI vs without AI, though the exact arm structure is not entirely clear from the methodology section. The sample size of 108 appears to represent the total respondents, and the statistical tests suggest comparison conditions, but raw means and SDs for productivity outcomes are not reported in the results tables. The study reports Likert-scale survey responses but does not provide the aggregated mean productivity scores that would allow direct effect size calculation. The t-statistic from Hypothesis 1 is the strongest quantitative evidence available for the AI effect on productivity. | no usable numbers"
Tamkin et al. 2024,02_method_classification,"study_design=other (This is a system validation study, not a study of AI impact on human performance or outcomes. The paper describes 'manua)"
